component    key   type   °C
battery  TB0T  flt    34.10
battery  TB1T  flt    34.10
battery  TB2T  flt    34.00
cpu-aux  Te04  flt    47.89
cpu-core  Te05  flt    53.69
cpu-aux  Te06  flt    57.53
cpu-aux  Te0R  flt    48.72
cpu-core  Te0S  flt    54.32
cpu-aux  Te0T  flt    57.19
cpu-aux  Tex0  flt    52.60
cpu-aux  Tex1  flt    57.53
cpu-aux  Tex2  flt    52.72
cpu-aux  Tex3  flt    57.19
gpu  Tg04  flt    47.52
gpu  Tg05  flt    53.92
gpu  Tg0K  flt    47.40
gpu  Tg0L  flt    47.40
gpu  Tg0R  flt    47.25
gpu  Tg0S  flt    53.45
gpu  Tg0X  flt    47.65
gpu  Tg0Y  flt    54.05
gpu  Tg0d  flt    48.25
gpu  Tg0e  flt    48.25
gpu  Tg0j  flt    47.66
gpu  Tg0k  flt    54.06
gpu  Tg0y  flt    47.76
gpu  Tg0z  flt    54.16
gpu  Tg1E  flt    47.83
gpu  Tg1F  flt    47.83
gpu  Tg1U  flt    47.34
gpu  Tg1V  flt    53.74
gpu  Tg1c  flt    48.01
gpu  Tg1d  flt    48.01
gpu  Tg1k  flt    47.89
gpu  Tg1l  flt    54.29
cpu-aux  Tp00  flt    40.00
cpu-core  Tp01  flt    40.00
cpu-aux  Tp02  flt    40.00
cpu-aux  Tp04  flt    40.00
cpu-core  Tp05  flt    40.00
cpu-aux  Tp06  flt    40.00
cpu-aux  Tp08  flt    40.00
cpu-core  Tp09  flt    40.00
cpu-aux  Tp0A  flt    40.00
cpu-aux  Tp0C  flt    40.00
cpu-core  Tp0D  flt    40.00
cpu-aux  Tp0E  flt    40.00
cpu-aux  Tp0G  flt    40.00
cpu-aux  Tp0H  flt    40.00
cpu-aux  Tp0I  flt    40.00
cpu-aux  Tp0K  flt    40.00
cpu-aux  Tp0L  flt    40.00
cpu-aux  Tp0M  flt    40.00
cpu-aux  Tp0O  flt    40.00
cpu-aux  Tp0P  flt    40.00
cpu-aux  Tp0Q  flt    40.00
cpu-aux  Tp0S  flt    40.00
cpu-aux  Tp0T  flt    40.00
cpu-aux  Tp0U  flt    40.00
cpu-aux  Tp0W  flt    40.00
cpu-aux  Tp0X  flt    40.00
cpu-core  Tp0Y  flt    40.00
cpu-aux  Tp0a  flt    40.00
cpu-core  Tp0b  flt    40.00
cpu-aux  Tp0c  flt    40.00
cpu-aux  Tp0d  flt    40.00
cpu-core  Tp0e  flt    40.00
cpu-aux  Tp0f  flt    40.00
cpu-aux  Tp0g  flt    40.00
cpu-aux  Tp0i  flt    40.00
cpu-aux  Tp0k  flt    40.00
cpu-aux  Tp0l  flt    40.00
cpu-aux  Tp0m  flt    40.00
cpu-aux  Tp0n  flt    40.00
cpu-aux  Tp0o  flt    40.00
cpu-aux  Tp0q  flt    40.00
cpu-aux  Tp0t  flt    40.00
cpu-aux  Tp0u  flt    40.00
cpu-aux  Tp0v  flt    40.00
cpu-aux  Tp0w  flt    40.00
cpu-aux  Tp1j  flt     2.20
cpu-aux  Tp1n  flt     1.50
cpu-aux  Tp1t  flt     2.20
cpu-aux  Tp1w  flt     1.50
cpu-aux  Tp1z  flt     2.20
cpu-aux  Tp22  flt     1.50
cpu-aux  Tp25  flt     2.20
cpu-aux  Tp28  flt     1.50
cpu-aux  Tp2B  flt     2.20
cpu-aux  Tp2E  flt     1.50
cpu-aux  Tp2J  flt     2.20
cpu-aux  Tp2M  flt     1.50
cpu-aux  Tp2Q  flt     5.20
cpu-aux  Tp2T  flt     5.20
cpu-aux  Tp2W  flt     5.20
cpu-aux  Tpx0  flt    40.00
cpu-aux  Tpx1  flt    40.00
cpu-aux  Tpx2  flt    40.00
cpu-aux  Tpx3  flt    40.00
cpu-aux  Tpx4  flt    40.00
cpu-aux  Tpx5  flt    40.00
